layer,target,probe_type,score,cv_score,ci_lower,ci_upper,train_size,test_size
9,is_relevant,logistic,0.804518,0.780861,0.73752,0.86253,4800,1200
9,relevance_label,ridge,0.0616,-0.074322,-0.025774,0.118397,4800,1200
10,lexical_overlap,ridge,0.339909,-0.205579,0.293112,0.384918,4800,1200
10,query_term_freq,ridge,0.381971,0.03738,0.336345,0.421765,4800,1200
10,bm25_score,ridge,0.624536,0.553446,0.58437,0.662582,4800,1200
10,bm25_rank,ridge,-0.001663,-0.042557,-0.051196,0.045032,4800,1200
10,doc_length_bucket,logistic,0.995447,0.996735,0.992949,0.99759,4800,1200
10,is_relevant,logistic,0.8992,0.873106,0.867437,0.928937,4800,1200
10,relevance_label,ridge,0.118974,0.025559,0.023309,0.181019,4800,1200
11,lexical_overlap,ridge,0.335707,0.262157,0.286259,0.379963,4800,1200
11,query_term_freq,ridge,0.36737,-0.044211,0.321039,0.410854,4800,1200
11,bm25_score,ridge,0.61577,0.306984,0.578089,0.653411,4800,1200
11,bm25_rank,ridge,0.01422,-0.087721,-0.030832,0.05606,4800,1200
11,doc_length_bucket,logistic,0.99533,0.996672,0.992964,0.997549,4800,1200
11,is_relevant,logistic,0.89764,0.85581,0.862876,0.927342,4800,1200
11,relevance_label,ridge,0.098598,-0.085561,0.001786,0.167618,4800,1200
12,lexical_overlap,ridge,0.355229,0.271603,0.311079,0.398131,4800,1200
12,query_term_freq,ridge,0.355116,-0.157306,0.306779,0.398674,4800,1200
12,bm25_score,ridge,0.603137,0.247824,0.56444,0.635452,4800,1200
12,bm25_rank,ridge,0.013131,-0.323491,-0.032192,0.057404,4800,1200
12,doc_length_bucket,logistic,0.995903,0.996698,0.993533,0.99768,4800,1200
12,is_relevant,logistic,0.912587,0.865902,0.884766,0.938442,4800,1200
12,relevance_label,ridge,0.100518,-0.265344,0.007365,0.171215,4800,1200
13,lexical_overlap,ridge,0.391751,0.093789,0.35004,0.435295,4800,1200
13,query_term_freq,ridge,0.386987,0.166493,0.34064,0.426926,4800,1200
13,bm25_score,ridge,0.653707,0.582984,0.622779,0.684321,4800,1200
13,bm25_rank,ridge,0.035334,-0.609002,-0.015943,0.080093,4800,1200
13,doc_length_bucket,logistic,0.995764,0.99639,0.99356,0.997667,4800,1200
13,is_relevant,logistic,0.927215,0.912404,0.899708,0.952074,4800,1200
13,relevance_label,ridge,0.106229,-0.038721,-0.010588,0.181458,4800,1200
14,lexical_overlap,ridge,0.376672,0.298355,0.328893,0.421736,4800,1200
14,query_term_freq,ridge,0.385503,0.220178,0.33875,0.428068,4800,1200
14,bm25_score,ridge,0.65951,0.575646,0.624025,0.692047,4800,1200
14,bm25_rank,ridge,0.016177,-0.525792,-0.030373,0.066089,4800,1200
